Rainfall,Evaporation,Inflow
4.133333333,13.51,494.73
0.4222222222,13.51,338.73
0.4444444444,13.51,280.43
0,13.96,228.43
4.777777778,13.96,210.52
0.5111111111,13.96,128.28
3.333333333,13.96,168.44
4.6,13.97,182.68
0.2222222222,13.98,183.69
11.02222222,13.98,323.27
2.288888889,13.98,260.2
0,13.97,199.9
0,13.96,203.89
0,13.96,128.28
0,13.96,156.68
0,13.97,130.68
0,13.97,130.69
0,13.97,104.69
0,13.97,131.69
0,13.97,104.69
0,13.97,104.69
0,13.97,104.69
0,13.97,104.69
0,13.97,104.69
0,13.97,104.69
0,13.97,104.64
0,13.97,130.69
0,13.97,104.69
0,13.97,104.69
0,13.97,78.69
0,13.97,104.69
0,13.97,130.69
0,13.97,104.69
0,13.52,78.69
0,13.52,104.24
0,13.52,104.24
0,13.52,39.78
0,13.52,96.27
0,13.52,69.28
2.955555556,13.52,111.33
1.566666667,13.52,120.22
0,13.52,120.22
0,13.52,139.66
0,13.52,114.82
0,13.52,124.46
0,13.52,133.1
0,13.51,60.66
0,13.51,42.21
0,13.5,34.44
0,13.49,21.33
0,13.48,18
0.07777777778,13.47,12.67
1.066666667,13.47,13.67
2.733333333,13.46,21.38
0,13.46,18.05
0,13.45,12.65
0,13.44,9.32
0,13.43,9.31
0,13.43,18.06
0,13.42,10.5
0,13.42,9.45
0,13.42,18.17
0,13.42,18.17
0,13.42,18.17
0,13.42,18.17
0,13.42,18.17
0,13.42,18.17
0,13.42,18.17
0,13.42,18.17
0,13.42,18.17
0,13.42,26.64
0,13.42,25.56
0,13.4,19.05
0,13.37,19.99
0,13.34,19.91
0,13.32,25.03
0,13.29,24.75
0,13.26,11.68
0,13.23,10.42
0,13.2,22.77
0,13.18,22.74
0,13.15,23.72
0,13.12,23.69
0,13.1,25.66
0,13.07,25.64
0,13.04,25.61
0,13.01,25.58
0,12.99,26.55
0,12.96,19.89
0,12.93,3.5
0,12.9,2.47
0,12.87,2.44
0,12.84,5.41
0,12.81,4.38
0,12.78,5.35
0,13.69,5.32
0,13.66,8.23
0,13.63,9.2
0,13.6,9.17
0,13.56,9.14
0,13.53,2.38
0,13.49,4.35
0,13.46,4.31
0,13.43,4.28
0.5666666667,13.39,5.25
3.444444444,13.35,7.21
38.85555556,13.31,3.2
20.85555556,13.27,20.1
0.5111111111,13.22,24.06
7.711111111,13.18,24.01
0,13.13,23.97
0,13.08,22.6
0,13.03,24.33
0,12.97,8.1
0,12.91,20.84
0,12.86,19.78
0,12.81,23.73
0,12.75,24.68
0,12.69,25.62
0,12.63,6.56
0,12.57,6.5
0,12.51,10.44
0,12.44,11.38
0,12.38,13.31
0,14.35,18.25
0,14.27,20.22
0,14.19,24.14
0,14.13,3.98
0,14.08,6.63
0,14.03,10.58
0,13.98,10.53
0,13.94,10.48
0,13.89,12.44
0,13.83,1.03
0,13.78,5.29
0,13.72,5.24
5.155555556,13.67,4.86
13.95555556,13.62,4.81
12.81111111,13.56,4.76
31.62222222,13.51,6.7
6.988888889,13.46,4.33
0.6444444444,13.41,4.28
0,13.35,4.23
2.133333333,13.3,3.85
6.855555556,13.25,3.8
23.24444444,13.19,3.75
65.21111111,13.13,3.97
12.17777778,13.08,44.91
9.888888889,13.03,24.86
2.622222222,12.97,5.81
2.088888889,12.91,4.43
5.355555556,12.86,4.37
10.01111111,12.8,5.32
6.844444444,12.74,3.94
7.644444444,12.69,3.88
0,18.3,3.83
0,18.21,3.08
0.03333333333,18.12,2.99
0.3555555556,18.03,2.9
0,17.95,2.49
2.533333333,17.85,3.41
2.1,17.77,2.31
0.1333333333,17.68,6.23
0,17.59,7.14
0,17.51,2.73
0,17.42,2.33
0,17.33,3.24
0,17.24,2.15
1.888888889,17.15,2.02
1.377777778,17.05,1.93
4.122222222,16.96,1.83
1.166666667,16.86,5.74
2.822222222,16.77,2.32
2.777777778,16.67,2.23
7.044444444,16.58,2.81
4.044444444,16.49,2.72
1.588888889,16.39,3.63
7.011111111,16.3,7.56
7.255555556,16.2,6.47
1.2,16.11,9.3
1.644444444,16.02,12.22
0,15.92,1.8
2.222222222,15.84,2.38
0,15.76,2.3
0,15.67,4.22
0,12.91,2.81
0,12.84,4.37
0,12.77,6.3
0,12.7,3.91
0,12.62,1.08
0,12.55,1.53
0,12.47,2.44
0.1888888889,12.39,4.38
0,12.32,1.98
0,12.23,3.91
0.3555555556,12.14,4.78
0,12.06,1.37
0,11.98,1.02
0,11.9,3.08
0,11.83,1.68
0,11.75,2.61
0,11.68,4.53
0,11.61,2.14
1.233333333,11.53,4.07
0,11.44,2.67
0.03333333333,11.36,1.32
4.211111111,11.28,1.03
2.733333333,11.22,1.95
13.88888889,11.12,1.4
9.355555556,11.05,4.66
14.71111111,10.98,1.88
0.1111111111,10.93,4
0.1888888889,10.89,5.87
4.566666667,10.86,5.28
4,10.83,5.25
14.21111111,10.81,6.22
4.9,5.59,85.29
7.888888889,5.59,18.98
1.155555556,5.6,66.34
0.06666666667,5.6,66.34
1.188888889,5.6,10.35
5.333333333,5.61,39.35
15.94444444,5.61,38.36
11.42222222,5.63,66.36
9.988888889,5.65,123.38
25.87777778,5.68,180.4
27.53333333,5.73,293.43
17.85555556,5.81,527.48
17.37777778,5.86,475.56
25.23333333,5.92,361.61
24.21111111,5.98,485.67
7.055555556,6.03,488.73
9.755555556,6.09,372.78
9.833333333,6.14,498.84
6.755555556,6.21,440.89
3.577777778,6.27,569.96
2.5,6.32,388.02
2.066666667,6.35,327.07
4.111111111,6.38,265.1
3.877777778,6.41,268.13
3.133333333,6.44,267.16
8.411111111,6.47,269.19
8.644444444,6.51,271.22
29.87777778,6.58,467.26
29.58888889,6.67,671.33
23.08888889,6.76,745.42
11.9,6.61,891.51
18.65555556,6.68,720.08
4.011111111,6.62,581.07
3.6,6.75,527.78
4.211111111,6.76,391.69
6.922222222,6.77,321.7
5.933333333,6.8,401.35
5.811111111,6.82,470.38
3.944444444,6.84,402.4
3.622222222,6.86,402.42
2.622222222,6.87,403.44
1.444444444,6.88,331.45
0.1111111111,6.89,331.45
0.2555555556,6.89,331.47
3.611111111,6.89,270.15
23.14444444,6.88,202.43
3.011111111,6.87,202.42
3.611111111,6.86,202.41
1.088888889,6.84,130.4
6.933333333,6.82,131.38
11.08888889,6.83,131.36
14.01111111,6.83,362.37
6.111111111,6.84,308.37
19.67777778,6.87,487.38
40.62222222,6.92,484.54
47.94444444,7.01,827.58
76.32222222,7.19,1051.51
100.7444444,7.47,2271.74
40.16666667,7.75,2898.02
46.8,8,2274.3
52.81111111,8.22,2307.55
27.64444444,8.37,1891.77
9.744444444,8.46,1322.56
11.7,8.53,977
19.75555556,8.6,893.07
7.4,8.65,900.14
9.788888889,8.69,722.19
19.32222222,8.74,637.23
41.53333333,8.82,818.28
57.5,8.96,1518.21
95.94444444,9.2,1995.71
113.7555556,9.53,4115.03
68.56666667,9.83,4695.03
118.2555556,9.95,3479.67
49.9,9.97,6072.59
37.62222222,9.98,3977.83
8.044444444,9.99,2241.17
5.866666667,10.06,1347.71
4.355555556,10.11,1109.58
3.088888889,10.13,861.43
2.022222222,10.14,455.55
0.4111111111,10.14,397.3
0.02222222222,10.14,362.65
3.111111111,10.14,362.65
0.02222222222,10.14,362.65
1.277777778,10.14,362.65
1.933333333,10.13,362.65
3.988888889,10.13,357.64
30.44444444,10.13,362.64
9.055555556,10.14,362.64
12.36666667,10.14,467.65
11.58888889,10.14,257.65
18.38888889,10.5,467.65
13.5,10.5,342.69
7.877777778,10.51,844.2
1.355555556,10.51,739.21
2.288888889,10.51,430.33
0.2777777778,10.51,363.02
4.244444444,10.51,363.02
9.088888889,10.51,363.02
22.71111111,10.51,363.02
35.84444444,10.51,522.81
24.73333333,10.51,1191.72
11.66666667,10.5,1314.41
11.63333333,10.5,850.94
11.75555556,10.51,712.82
6.788888889,10.51,604.37
4.766666667,10.51,505.58
3.011111111,10.51,514.22
3.722222222,10.51,428.25
5.355555556,10.51,428.25
4.211111111,10.51,428.25
2.133333333,10.5,514.22
0.04444444444,10.5,310.01
0.4444444444,10.49,259.01
0.6,10.48,258
2.988888889,10.47,257.99
